Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
146807,334967527,G,34.8494,9.205,-7.74668,-32.7067,12.0309,-1.72548,-0.699582,1,T,3.7024,1.21471,-0.0801105,-3.49495,1.21734,-1.77683,-0.0658552,1,2.41969
146807,334970207,G,90.6164,24.1516,16.1585,-85.8307,29.0586,-1.80371,0.589648,1,T,6.8207,1.30215,1.70478,-6.47371,2.1452,-1.82405,0.918508,1,2.62267
146807,335018671,G,32.2529,-8.75878,-6.24349,-30.4062,10.7563,-1.76222,-2.52231,-1,G,5.25308,-4.85146,2.01156,-0.0255376,5.25195,-0.00486248,2.74854,1,16.657
146807,334278568,G,11.9151,-2.19242,1.34821,11.6333,2.57378,2.21366,2.59026,1,T,6.05189,0.194045,1.3232,5.90133,1.33735,2.19023,1.42519,-1,2.054
146807,334488776,G,8.17912,3.1841,2.93123,-6.93947,4.32789,-1.2508,0.744071,-1,G,6.63264,2.93128,4.13438,-4.2773,5.06808,-0.766635,0.954056,1,2.50034
146807,334547296,G,5.8385,-1.50337,-4.37005,-3.56644,4.62141,-0.710433,-1.90213,-1,G,5.69013,-3.48251,-2.48277,-3.75159,4.27692,-0.791801,-2.52224,1,2.74512
146807,334675936,G,27.0935,3.71791,9.66324,25.0369,10.3538,1.61639,1.20351,1,T,6.22336,1.02502,0.545034,6.11321,1.16092,2.36328,0.488706,-1,3.60287
146807,334698920,G,9.33056,7.58594,1.45976,5.23172,7.72511,0.633917,0.190105,-1,G,7.46453,-6.03097,0.524426,4.36583,6.05373,0.669932,3.05486,1,13.5502
146807,334752168,G,20.6106,3.68274,-0.497208,20.2726,3.71615,2.39802,-0.134199,-1,T,5.19068,1.34237,-1.41628,4.80877,1.95136,1.6339,-0.812185,-1,2.77871
146807,334755648,G,6.00616,1.96708,-5.59596,-0.937339,5.93163,-0.157373,-1.23277,-1,T,5.93373,-0.968588,-1.31566,5.7034,1.63374,1.96325,-2.20541,1,8.43078
146807,334850656,G,10.0958,-2.23641,5.46118,8.19068,5.90136,1.13095,1.95947,1,T,4.28347,0.0895628,-0.961202,-4.17193,0.965366,-2.1699,-1.47789,-1,12.8745
146807,335039352,G,15.3664,-0.733954,-9.72548,-11.874,9.75314,-1.0271,-1.64612,-1,G,9.39618,5.98514,-2.39191,-6.83622,6.4454,-0.923606,-0.380197,1,9.41848
146807,335108216,G,36.376,-7.40117,8.81765,34.5061,11.5121,1.81762,2.26908,1,T,3.11934,0.345696,0.692227,3.02,0.773747,2.07094,1.10763,-1,3.38416
146807,335147056,G,9.73548,-4.48452,-3.41819,-7.93558,5.6387,-1.14224,-2.49032,1,G,11.9858,-0.583493,2.22365,11.7628,2.29893,2.33506,1.82741,-1,20.7378
146807,335176280,G,26.0071,7.34016,1.59227,24.8987,7.51087,1.91362,0.213617,1,T,3.00484,0.373302,-0.796693,2.87121,0.879815,1.89861,-1.13261,-1,3.22413
146807,335186944,G,21.2031,8.51496,4.35907,-18.9223,9.56588,-1.4338,0.473147,-1,T,5.56002,0.67977,-1.03113,-5.42009,1.23504,-2.18489,-0.987948,1,5.30033
146807,334231409,G,12.6279,-2.26922,-4.46729,-11.5908,5.01059,-1.57555,-2.04079,-1,T,4.00873,1.03631,-0.142737,-3.86839,1.04609,-2.01872,-0.136875,1,3.87537
146807,334378009,G,31.1339,-4.9802,-4.65971,30.3775,6.82021,2.19933,-2.38943,-1,G,9.60521,2.95849,-2.58213,8.76521,3.92684,1.54288,-0.717574,1,8.42563
146807,334509217,G,15.6452,5.21555,-3.29664,14.3768,6.17008,1.58221,-0.563674,1,G,20.7951,10.1324,-3.71296,17.7757,10.7913,1.27375,-0.351248,-1,3.06991
146807,334660481,G,5.99054,5.08537,-2.2493,-2.22601,5.5606,-0.390331,-0.416438,1,T,11.3077,7.91653,-7.43263,-3.15233,10.8589,-0.286369,-0.753882,1,2.741
146807,334659993,G,10.8711,-0.493042,-5.81908,-9.16873,5.83993,-1.23298,-1.65532,1,G,7.47398,3.86775,-2.01282,6.06945,4.36015,1.13334,-0.479843,-1,15.944
146807,334705041,G,11.7311,-11.1114,-2.1175,3.10818,11.3114,0.271438,-2.95328,1,T,4.18254,-3.20585,-1.16848,2.41653,3.41216,0.65938,-2.79207,-1,2.63446
146807,334917761,G,4.98081,3.51773,-3.46904,0.623454,4.94051,0.12586,-0.778429,1,G,7.50874,5.68667,1.37635,4.70504,5.85086,0.735915,0.237464,1,6.20449
146807,334964561,G,17.2892,-1.69345,11.2266,-13.0384,11.3536,-0.982515,1.72051,1,T,5.71672,-0.561723,1.03747,-5.59265,1.17978,-2.26022,2.06704,1,5.16343
146807,335067201,G,97.0536,13.3993,-25.3595,-92.7186,28.6818,-1.88956,-1.08471,-1,T,3.58684,1.13815,0.0191382,-3.39978,1.13831,-1.81423,0.0168137,1,6.02309
146807,334257434,G,8.13177,2.95984,-0.890181,-7.52073,3.0908,-1.62216,-0.292148,-1,T,5.99755,-2.17142,-3.59129,4.28333,4.19672,0.895892,-2.11462,1,12.9789
146807,334318706,G,7.31663,-0.184518,-3.68124,6.31952,3.68586,1.30816,-1.62088,1,G,6.44721,1.12217,3.33301,5.40251,3.51685,1.21467,1.24603,1,7.14401
